Reporting Area,Current MMWR Year,MMWR WEEK,Label,Current week,"Current week, flag",Previous 52 week Max,"Previous 52 weeks Max, flag",Cumulative YTD Current MMWR Year,"Cumulative YTD Current MMWR Year, flag",Cumulative YTD Previous MMWR Year,"Cumulative YTD Previous MMWR Year, flag",LOCATION1,LOCATION2,sort_order,geocode
Indiana,2025,1,"Measles, Imported",,-,0,,,-,,-,Indiana,,20250104356,POINT (-86.15013 39.76691)
Michigan,2025,1,"Measles, Imported",,-,1,,,-,,-,Michigan,,20250104357,POINT (-84.55226 42.73194)
Ohio,2025,1,"Measles, Imported",,-,1,,,-,,-,Ohio,,20250104358,POINT (-83.00276 39.96199)
Wisconsin,2025,1,"Measles, Imported",,-,0,,,-,,-,Wisconsin,,20250104359,POINT (-89.38645 43.07313)
West North Central,2025,1,"Measles, Imported",,-,3,,,-,,-,,West North Central,20250104360,
Iowa,2025,1,"Measles, Imported",,-,0,,,-,,-,Iowa,,20250104361,POINT (-93.61539 41.58981)
Kansas,2025,1,"Measles, Imported",,-,0,,,-,,-,Kansas,,20250104362,POINT (-95.67119 39.04931)
Minnesota,2025,1,"Measles, Imported",,-,3,,,-,,-,Minnesota,,20250104363,POINT (-93.09649 44.94339)
Missouri,2025,1,"Measles, Imported",,-,0,,,-,,-,Missouri,,20250104364,POINT (-92.17785 38.57751)
Nebraska,2025,1,"Measles, Imported",,-,0,,,-,,-,Nebraska,,20250104365,POINT (-96.70731 40.81362)
North Dakota,2025,1,"Measles, Imported",,-,0,,,-,,-,North Dakota,,20250104366,POINT (-100.7797 46.80536)
South Dakota,2025,1,"Measles, Imported",,-,0,,,-,,-,South Dakota,,20250104367,POINT (-100.34987 44.36917)
South Atlantic,2025,1,"Measles, Imported",,-,2,,,-,,-,,South Atlantic,20250104368,POINT (-100.34987 44.36917)
Delaware,2025,1,"Measles, Imported",,-,0,,,-,,-,Delaware,,20250104369,POINT (-75.52474 39.15803)
District of Columbia,2025,1,"Measles, Imported",,-,1,,,-,,-,District of Columbia,,20250104370,
Florida,2025,1,"Measles, Imported",,-,1,,,-,,-,Florida,,20250104371,POINT (-84.28065 30.43977)
Georgia,2025,1,"Measles, Imported",,-,1,,,-,,-,Georgia,,20250104372,POINT (-84.39111 33.74831)
Maryland,2025,1,"Measles, Imported",,-,1,,,-,,-,Maryland,,20250104373,POINT (-76.49015 38.97678)
North Carolina,2025,1,"Measles, Imported",,-,1,,,-,,-,North Carolina,,20250104374,POINT (-78.6427 35.78547)
South Carolina,2025,1,"Measles, Imported",,-,0,,,-,,-,South Carolina,,20250104375,POINT (-81.04537 33.99882)
Virginia,2025,1,"Measles, Imported",,-,1,,,-,,-,Virginia,,20250104376,POINT (-77.43367 37.54068)
West Virginia,2025,1,"Measles, Imported",,-,1,,,-,,-,West Virginia,,20250104377,POINT (-81.63896 38.35016)
East South Central,2025,1,"Measles, Imported",,-,1,,,-,,-,,East South Central,20250104378,
Alabama,2025,1,"Measles, Imported",,-,0,,,-,,-,Alabama,,20250104379,POINT (-86.30006 32.38015)
Kentucky,2025,1,"Measles, Imported",,-,0,,,-,,-,Kentucky,,20250104380,POINT (-84.8787 38.19507)
Mississippi,2025,1,"Measles, Imported",,-,0,,,-,,-,Mississippi,,20250104381,POINT (-90.18045 32.29896)
Tennessee,2025,1,"Measles, Imported",,-,1,,,-,,-,Tennessee,,20250104382,POINT (-86.77817 36.16784)
West South Central,2025,1,"Measles, Imported",,-,1,,,-,,-,,West South Central,20250104383,
Arkansas,2025,1,"Measles, Imported",,-,0,,,-,,-,Arkansas,,20250104384,POINT (-92.27486 34.7487)
Louisiana,2025,1,"Measles, Imported",,-,1,,,-,,-,Louisiana,,20250104385,POINT (-91.18665 30.44335)
Oklahoma,2025,1,"Measles, Imported",,-,0,,,-,,-,Oklahoma,,20250104386,POINT (-97.52107 35.47203)
Texas,2025,1,"Measles, Imported",,-,0,,,-,,-,Texas,,20250104387,POINT (-97.743 30.26759)
Mountain,2025,1,"Measles, Imported",,-,2,,,-,,-,,Mountain,20250104388,
Arizona,2025,1,"Measles, Imported",,-,1,,,-,,-,Arizona,,20250104389,POINT (-112.07581 33.44825)
Colorado,2025,1,"Measles, Imported",,-,0,,,-,,-,Colorado,,20250104390,POINT (-104.99203 39.74001)
Idaho,2025,1,"Measles, Imported",,-,0,,,-,,-,Idaho,,20250104391,POINT (-116.19341 43.60764)
Montana,2025,1,"Measles, Imported",,-,0,,,-,,-,Montana,,20250104392,POINT (-112.02066 46.58976)
Nevada,2025,1,"Measles, Imported",,-,0,,,-,,-,Nevada,,20250104393,POINT (-119.76698 39.16505)
New Mexico,2025,1,"Measles, Imported",,-,2,,,-,,-,New Mexico,,20250104394,POINT (-105.93825 35.69177)
Utah,2025,1,"Measles, Imported",,-,0,,,-,,-,Utah,,20250104395,POINT (-111.88822 40.76031)
Wyoming,2025,1,"Measles, Imported",,-,0,,,-,,-,Wyoming,,20250104396,POINT (-104.82155 41.13481)
Pacific,2025,1,"Measles, Imported",,-,1,,,-,,-,,Pacific,20250104397,
Alaska,2025,1,"Measles, Imported",,-,0,,,-,,-,Alaska,,20250104398,POINT (-134.4068 58.29973)
California,2025,1,"Measles, Imported",,-,1,,,-,,-,California,,20250104399,POINT (-121.49086 38.57944)
Hawaii,2025,1,"Measles, Imported",,-,0,,,-,,-,Hawaii,,20250104400,POINT (-157.85788 21.30493)
Oregon,2025,1,"Measles, Imported",,-,1,,,-,,-,Oregon,,20250104401,POINT (-123.04382 44.93326)
Washington,2025,1,"Measles, Imported",,-,1,,,-,,-,Washington,,20250104402,POINT (-122.89167 47.03956)
U.S. Territories,2025,1,"Measles, Imported",,-,0,,,-,,-,,U.S. Territories,20250104403,
American Samoa,2025,1,"Measles, Imported",,-,0,,,-,,-,American Samoa,,20250104404,
Commonwealth of Northern Mariana Islands,2025,1,"Measles, Imported",,-,0,,,-,,-,Commonwealth of Northern Mariana Islands,,20250104405,
Guam,2025,1,"Measles, Imported",,-,0,,,-,,-,Guam,,20250104406,
Puerto Rico,2025,1,"Measles, Imported",,-,0,,,-,,-,Puerto Rico,,20250104407,POINT (-66.11692 18.46536)
U.S. Virgin Islands,2025,1,"Measles, Imported",,-,0,,,-,,-,U.S. Virgin Islands,,20250104408,
Non-U.S. Residents,2025,1,"Measles, Imported",,-,0,,,-,,-,,Non-U.S. Residents,20250104409,
Total,2025,1,"Measles, Imported",,-,8,,,-,,-,,Total,20250104410,
U.S. Residents,2025,1,"Measles, Indigenous",,-,36,,,-,2,,,U.S. Residents,20250104411,
New England,2025,1,"Measles, Indigenous",,-,3,,,-,,-,,New England,20250104412,
Connecticut,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Connecticut,,20250104413,POINT (-72.67398 41.76381)
Maine,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Maine,,20250104414,POINT (-69.77631 44.31804)
Massachusetts,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Massachusetts,,20250104415,POINT (-71.05675 42.35866)
New Hampshire,2025,1,"Measles, Indigenous",,-,1,,,-,,-,New Hampshire,,20250104416,POINT (-71.53661 43.20725)
Rhode Island,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Rhode Island,,20250104417,POINT (-71.41198 41.82388)
Vermont,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Vermont,,20250104418,POINT (-72.57627 44.26029)
Middle Atlantic,2025,1,"Measles, Indigenous",,-,2,,,-,2,,,Middle Atlantic,20250104419,
New Jersey,2025,1,"Measles, Indigenous",,-,1,,,-,1,,New Jersey,,20250104420,POINT (-74.75943 40.21788)
New York,2025,1,"Measles, Indigenous",,-,0,,,-,,-,New York,,20250104421,POINT (-73.75522 42.65155)
New York City,2025,1,"Measles, Indigenous",,-,2,,,-,,-,New York City,,20250104422,POINT (-73.75522 42.65155)
Pennsylvania,2025,1,"Measles, Indigenous",,-,1,,,-,1,,Pennsylvania,,20250104423,POINT (-76.88224 40.25986)
East North Central,2025,1,"Measles, Indigenous",,-,36,,,-,,-,,East North Central,20250104424,
Illinois,2025,1,"Measles, Indigenous",,-,35,,,-,,-,Illinois,,20250104425,POINT (-89.64361 39.8013)
Indiana,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Indiana,,20250104426,POINT (-86.15013 39.76691)
Michigan,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Michigan,,20250104427,POINT (-84.55226 42.73194)
Ohio,2025,1,"Measles, Indigenous",,-,2,,,-,,-,Ohio,,20250104428,POINT (-83.00276 39.96199)
Wisconsin,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Wisconsin,,20250104429,POINT (-89.38645 43.07313)
West North Central,2025,1,"Measles, Indigenous",,-,11,,,-,,-,,West North Central,20250104430,
Iowa,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Iowa,,20250104431,POINT (-93.61539 41.58981)
Kansas,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Kansas,,20250104432,POINT (-95.67119 39.04931)
Minnesota,2025,1,"Measles, Indigenous",,-,11,,,-,,-,Minnesota,,20250104433,POINT (-93.09649 44.94339)
Missouri,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Missouri,,20250104434,POINT (-92.17785 38.57751)
Nebraska,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Nebraska,,20250104435,POINT (-96.70731 40.81362)
North Dakota,2025,1,"Measles, Indigenous",,-,0,,,-,,-,North Dakota,,20250104436,POINT (-100.7797 46.80536)
South Dakota,2025,1,"Measles, Indigenous",,-,1,,,-,,-,South Dakota,,20250104437,POINT (-100.34987 44.36917)
South Atlantic,2025,1,"Measles, Indigenous",,-,5,,,-,,-,,South Atlantic,20250104438,POINT (-100.34987 44.36917)
Delaware,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Delaware,,20250104439,POINT (-75.52474 39.15803)
District of Columbia,2025,1,"Measles, Indigenous",,-,0,,,-,,-,District of Columbia,,20250104440,
Florida,2025,1,"Measles, Indigenous",,-,5,,,-,,-,Florida,,20250104441,POINT (-84.28065 30.43977)
Georgia,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Georgia,,20250104442,POINT (-84.39111 33.74831)
Maryland,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Maryland,,20250104443,POINT (-76.49015 38.97678)
North Carolina,2025,1,"Measles, Indigenous",,-,0,,,-,,-,North Carolina,,20250104444,POINT (-78.6427 35.78547)
South Carolina,2025,1,"Measles, Indigenous",,-,1,,,-,,-,South Carolina,,20250104445,POINT (-81.04537 33.99882)
Virginia,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Virginia,,20250104446,POINT (-77.43367 37.54068)
West Virginia,2025,1,"Measles, Indigenous",,-,0,,,-,,-,West Virginia,,20250104447,POINT (-81.63896 38.35016)
East South Central,2025,1,"Measles, Indigenous",,-,1,,,-,,-,,East South Central,20250104448,
Alabama,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Alabama,,20250104449,POINT (-86.30006 32.38015)
Kentucky,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Kentucky,,20250104450,POINT (-84.8787 38.19507)
Mississippi,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Mississippi,,20250104451,POINT (-90.18045 32.29896)
Tennessee,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Tennessee,,20250104452,POINT (-86.77817 36.16784)
West South Central,2025,1,"Measles, Indigenous",,-,2,,,-,,-,,West South Central,20250104453,
Arkansas,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Arkansas,,20250104454,POINT (-92.27486 34.7487)
Louisiana,2025,1,"Measles, Indigenous",,-,2,,,-,,-,Louisiana,,20250104455,POINT (-91.18665 30.44335)
Oklahoma,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Oklahoma,,20250104456,POINT (-97.52107 35.47203)
Texas,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Texas,,20250104457,POINT (-97.743 30.26759)
Mountain,2025,1,"Measles, Indigenous",,-,2,,,-,,-,,Mountain,20250104458,
Arizona,2025,1,"Measles, Indigenous",,-,2,,,-,,-,Arizona,,20250104459,POINT (-112.07581 33.44825)
Colorado,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Colorado,,20250104460,POINT (-104.99203 39.74001)
Idaho,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Idaho,,20250104461,POINT (-116.19341 43.60764)
Montana,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Montana,,20250104462,POINT (-112.02066 46.58976)
Nevada,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Nevada,,20250104463,POINT (-119.76698 39.16505)
New Mexico,2025,1,"Measles, Indigenous",,-,0,,,-,,-,New Mexico,,20250104464,POINT (-105.93825 35.69177)
Utah,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Utah,,20250104465,POINT (-111.88822 40.76031)
Wyoming,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Wyoming,,20250104466,POINT (-104.82155 41.13481)
Pacific,2025,1,"Measles, Indigenous",,-,8,,,-,,-,,Pacific,20250104467,
Alaska,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Alaska,,20250104468,POINT (-134.4068 58.29973)
California,2025,1,"Measles, Indigenous",,-,2,,,-,,-,California,,20250104469,POINT (-121.49086 38.57944)
Hawaii,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Hawaii,,20250104470,POINT (-157.85788 21.30493)
Oregon,2025,1,"Measles, Indigenous",,-,8,,,-,,-,Oregon,,20250104471,POINT (-123.04382 44.93326)
Washington,2025,1,"Measles, Indigenous",,-,1,,,-,,-,Washington,,20250104472,POINT (-122.89167 47.03956)
U.S. Territories,2025,1,"Measles, Indigenous",,-,0,,,-,,-,,U.S. Territories,20250104473,
American Samoa,2025,1,"Measles, Indigenous",,-,0,,,-,,-,American Samoa,,20250104474,
Commonwealth of Northern Mariana Islands,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Commonwealth of Northern Mariana Islands,,20250104475,
Guam,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Guam,,20250104476,
Puerto Rico,2025,1,"Measles, Indigenous",,-,0,,,-,,-,Puerto Rico,,20250104477,POINT (-66.11692 18.46536)
U.S. Virgin Islands,2025,1,"Measles, Indigenous",,-,0,,,-,,-,U.S. Virgin Islands,,20250104478,
Non-U.S. Residents,2025,1,"Measles, Indigenous",,-,0,,,-,,-,,Non-U.S. Residents,20250104479,
Total,2025,1,"Measles, Indigenous",,-,36,,,-,2,,,Total,20250104480,
U.S. Residents,2025,1,"Meningococcal disease, All serogroups",6.0,,21,,6,,10,,,U.S. Residents,20250104551,
New England,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,,New England,20250104552,
Connecticut,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,Connecticut,,20250104553,POINT (-72.67398 41.76381)
Maine,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Maine,,20250104554,POINT (-69.77631 44.31804)
Massachusetts,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,Massachusetts,,20250104555,POINT (-71.05675 42.35866)
New Hampshire,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,New Hampshire,,20250104556,POINT (-71.53661 43.20725)
Rhode Island,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Rhode Island,,20250104557,POINT (-71.41198 41.82388)
Vermont,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Vermont,,20250104558,POINT (-72.57627 44.26029)
Middle Atlantic,2025,1,"Meningococcal disease, All serogroups",2.0,,5,,2,,2,,,Middle Atlantic,20250104559,
New Jersey,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,1,,New Jersey,,20250104560,POINT (-74.75943 40.21788)
New York,2025,1,"Meningococcal disease, All serogroups",,-,3,,,-,1,,New York,,20250104561,POINT (-73.75522 42.65155)
New York City,2025,1,"Meningococcal disease, All serogroups",1.0,,3,,1,,,-,New York City,,20250104562,POINT (-73.75522 42.65155)
Pennsylvania,2025,1,"Meningococcal disease, All serogroups",1.0,,2,,1,,,-,Pennsylvania,,20250104563,POINT (-76.88224 40.25986)
East North Central,2025,1,"Meningococcal disease, All serogroups",1.0,,4,,1,,1,,,East North Central,20250104564,
Illinois,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Illinois,,20250104565,POINT (-89.64361 39.8013)
Indiana,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Indiana,,20250104566,POINT (-86.15013 39.76691)
Michigan,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,Michigan,,20250104567,POINT (-84.55226 42.73194)
Ohio,2025,1,"Meningococcal disease, All serogroups",1.0,,2,,1,,,-,Ohio,,20250104568,POINT (-83.00276 39.96199)
Wisconsin,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Wisconsin,,20250104569,POINT (-89.38645 43.07313)
West North Central,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,,West North Central,20250104570,
Iowa,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Iowa,,20250104571,POINT (-93.61539 41.58981)
Kansas,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Kansas,,20250104572,POINT (-95.67119 39.04931)
Minnesota,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Minnesota,,20250104573,POINT (-93.09649 44.94339)
Missouri,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,Missouri,,20250104574,POINT (-92.17785 38.57751)
Nebraska,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Nebraska,,20250104575,POINT (-96.70731 40.81362)
North Dakota,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,North Dakota,,20250104576,POINT (-100.7797 46.80536)
South Dakota,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,South Dakota,,20250104577,POINT (-100.34987 44.36917)
South Atlantic,2025,1,"Meningococcal disease, All serogroups",,-,7,,,-,1,,,South Atlantic,20250104578,POINT (-100.34987 44.36917)
Delaware,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Delaware,,20250104579,POINT (-75.52474 39.15803)
District of Columbia,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,District of Columbia,,20250104580,
Florida,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,1,,Florida,,20250104581,POINT (-84.28065 30.43977)
Georgia,2025,1,"Meningococcal disease, All serogroups",,-,3,,,-,,-,Georgia,,20250104582,POINT (-84.39111 33.74831)
Maryland,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Maryland,,20250104583,POINT (-76.49015 38.97678)
North Carolina,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,North Carolina,,20250104584,POINT (-78.6427 35.78547)
South Carolina,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,South Carolina,,20250104585,POINT (-81.04537 33.99882)
Virginia,2025,1,"Meningococcal disease, All serogroups",,-,3,,,-,,-,Virginia,,20250104586,POINT (-77.43367 37.54068)
West Virginia,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,West Virginia,,20250104587,POINT (-81.63896 38.35016)
East South Central,2025,1,"Meningococcal disease, All serogroups",1.0,,4,,1,,1,,,East South Central,20250104588,
Alabama,2025,1,"Meningococcal disease, All serogroups",1.0,,3,,1,,1,,Alabama,,20250104589,POINT (-86.30006 32.38015)
Kentucky,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,Kentucky,,20250104590,POINT (-84.8787 38.19507)
Mississippi,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Mississippi,,20250104591,POINT (-90.18045 32.29896)
Tennessee,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,Tennessee,,20250104592,POINT (-86.77817 36.16784)
West South Central,2025,1,"Meningococcal disease, All serogroups",,-,4,,,-,1,,,West South Central,20250104593,
Arkansas,2025,1,"Meningococcal disease, All serogroups",,-,2,,,-,,-,Arkansas,,20250104594,POINT (-92.27486 34.7487)
Louisiana,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Louisiana,,20250104595,POINT (-91.18665 30.44335)
Oklahoma,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Oklahoma,,20250104596,POINT (-97.52107 35.47203)
Texas,2025,1,"Meningococcal disease, All serogroups",,-,3,,,-,,-,Texas,,20250104597,POINT (-97.743 30.26759)
Mountain,2025,1,"Meningococcal disease, All serogroups",2.0,,6,,2,,3,,,Mountain,20250104598,
Arizona,2025,1,"Meningococcal disease, All serogroups",1.0,,2,,1,,2,,Arizona,,20250104599,POINT (-112.07581 33.44825)
Colorado,2025,1,"Meningococcal disease, All serogroups",1.0,,4,,1,,,-,Colorado,,20250104600,POINT (-104.99203 39.74001)
Idaho,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Idaho,,20250104601,POINT (-116.19341 43.60764)
Montana,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Montana,,20250104602,POINT (-112.02066 46.58976)
Nevada,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Nevada,,20250104603,POINT (-119.76698 39.16505)
New Mexico,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,1,,New Mexico,,20250104604,POINT (-105.93825 35.69177)
Utah,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Utah,,20250104605,POINT (-111.88822 40.76031)
Wyoming,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Wyoming,,20250104606,POINT (-104.82155 41.13481)
Pacific,2025,1,"Meningococcal disease, All serogroups",,-,7,,,-,1,,,Pacific,20250104607,
Alaska,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Alaska,,20250104608,POINT (-134.4068 58.29973)
California,2025,1,"Meningococcal disease, All serogroups",,-,6,,,-,,-,California,,20250104609,POINT (-121.49086 38.57944)
Hawaii,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Hawaii,,20250104610,POINT (-157.85788 21.30493)
Oregon,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Oregon,,20250104611,POINT (-123.04382 44.93326)
Washington,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Washington,,20250104612,POINT (-122.89167 47.03956)
U.S. Territories,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,,U.S. Territories,20250104613,
American Samoa,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,American Samoa,,20250104614,
Commonwealth of Northern Mariana Islands,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Commonwealth of Northern Mariana Islands,,20250104615,
Guam,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Guam,,20250104616,
Puerto Rico,2025,1,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Puerto Rico,,20250104617,POINT (-66.11692 18.46536)
U.S. Virgin Islands,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,U.S. Virgin Islands,,20250104618,
Non-U.S. Residents,2025,1,"Meningococcal disease, All serogroups",,-,0,,,-,,-,,Non-U.S. Residents,20250104619,
Total,2025,1,"Meningococcal disease, All serogroups",6.0,,21,,6,,10,,,Total,20250104620,
U.S. Residents,2025,1,Pertussis,133.0,,"1,630",,133,,187,,,U.S. Residents,20250105251,
New England,2025,1,Pertussis,1.0,,67,,1,,3,,,New England,20250105252,
Connecticut,2025,1,Pertussis,,-,18,,,-,,-,Connecticut,,20250105253,POINT (-72.67398 41.76381)
Maine,2025,1,Pertussis,1.0,,16,,1,,,-,Maine,,20250105254,POINT (-69.77631 44.31804)
Massachusetts,2025,1,Pertussis,,-,40,,,-,2,,Massachusetts,,20250105255,POINT (-71.05675 42.35866)
New Hampshire,2025,1,Pertussis,,-,6,,,-,,-,New Hampshire,,20250105256,POINT (-71.53661 43.20725)
Rhode Island,2025,1,Pertussis,,-,9,,,-,,-,Rhode Island,,20250105257,POINT (-71.41198 41.82388)
Vermont,2025,1,Pertussis,,-,12,,,-,1,,Vermont,,20250105258,POINT (-72.57627 44.26029)
Middle Atlantic,2025,1,Pertussis,12.0,,193,,12,,48,,,Middle Atlantic,20250105259,
New Jersey,2025,1,Pertussis,,-,37,,,-,20,,New Jersey,,20250105260,POINT (-74.75943 40.21788)
New York,2025,1,Pertussis,2.0,,66,,2,,3,,New York,,20250105261,POINT (-73.75522 42.65155)
New York City,2025,1,Pertussis,,-,39,,,-,15,,New York City,,20250105262,POINT (-73.75522 42.65155)
Pennsylvania,2025,1,Pertussis,10.0,,107,,10,,10,,Pennsylvania,,20250105263,POINT (-76.88224 40.25986)
East North Central,2025,1,Pertussis,11.0,,487,,11,,53,,,East North Central,20250105264,
Illinois,2025,1,Pertussis,,-,128,,,-,24,,Illinois,,20250105265,POINT (-89.64361 39.8013)
Indiana,2025,1,Pertussis,,-,32,,,-,7,,Indiana,,20250105266,POINT (-86.15013 39.76691)
Michigan,2025,1,Pertussis,3.0,,148,,3,,4,,Michigan,,20250105267,POINT (-84.55226 42.73194)
Ohio,2025,1,Pertussis,7.0,,93,,7,,15,,Ohio,,20250105268,POINT (-83.00276 39.96199)
Wisconsin,2025,1,Pertussis,1.0,,184,,1,,3,,Wisconsin,,20250105269,POINT (-89.38645 43.07313)
West North Central,2025,1,Pertussis,29.0,,282,,29,,14,,,West North Central,20250105270,
Iowa,2025,1,Pertussis,,-,29,,,-,3,,Iowa,,20250105271,POINT (-93.61539 41.58981)
Kansas,2025,1,Pertussis,,-,17,,,-,4,,Kansas,,20250105272,POINT (-95.67119 39.04931)
Minnesota,2025,1,Pertussis,,-,130,,,-,2,,Minnesota,,20250105273,POINT (-93.09649 44.94339)
